종목코드,종목명,날짜,종가,전일비,시가,고가,저가,거래량
326030,SK바이오팜,2023.07.31,81400.0,300.0,81700.0,83200.0,81000.0,51252.0
326030,SK바이오팜,2023.07.28,81700.0,2300.0,83200.0,84000.0,80700.0,122801.0
326030,SK바이오팜,2023.07.27,84000.0,0.0,83400.0,84900.0,82800.0,177218.0
326030,SK바이오팜,2023.07.26,84000.0,2300.0,81700.0,84500.0,79500.0,313396.0
326030,SK바이오팜,2023.07.25,81700.0,2900.0,84300.0,85500.0,81500.0,149965.0
326030,SK바이오팜,2023.07.24,84600.0,800.0,85700.0,86700.0,83300.0,176847.0
326030,SK바이오팜,2023.07.21,85400.0,0.0,85400.0,87000.0,84000.0,233863.0
326030,SK바이오팜,2023.07.20,85400.0,3800.0,81600.0,87000.0,81100.0,380258.0
326030,SK바이오팜,2023.07.19,81600.0,6200.0,75600.0,82300.0,74700.0,278945.0
326030,SK바이오팜,2023.07.18,75400.0,1000.0,76400.0,77100.0,74700.0,90659.0
326030,SK바이오팜,2023.07.17,76400.0,100.0,77600.0,78000.0,75900.0,86559.0
326030,SK바이오팜,2023.07.14,76500.0,800.0,76500.0,77800.0,75900.0,128510.0
326030,SK바이오팜,2023.07.13,75700.0,2000.0,74300.0,76900.0,74200.0,198865.0
326030,SK바이오팜,2023.07.12,73700.0,0.0,73700.0,74000.0,72700.0,80110.0
326030,SK바이오팜,2023.07.11,73700.0,300.0,73400.0,74800.0,72900.0,129163.0
326030,SK바이오팜,2023.07.10,73400.0,2000.0,74500.0,75800.0,73000.0,152857.0
326030,SK바이오팜,2023.07.07,75400.0,2300.0,77700.0,77800.0,74700.0,155257.0
326030,SK바이오팜,2023.07.06,77700.0,1100.0,78800.0,78800.0,76900.0,188517.0
326030,SK바이오팜,2023.07.05,78800.0,4400.0,83000.0,84200.0,77700.0,256751.0
326030,SK바이오팜,2023.07.04,83200.0,800.0,82000.0,84100.0,81600.0,104310.0
326030,SK바이오팜,2023.07.03,82400.0,1500.0,82700.0,83900.0,81200.0,115478.0
326030,SK바이오팜,2023.06.30,80900.0,1100.0,82100.0,82700.0,80500.0,78320.0
326030,SK바이오팜,2023.06.29,82000.0,400.0,81000.0,83100.0,80300.0,134560.0
326030,SK바이오팜,2023.06.28,81600.0,0.0,82400.0,82500.0,81100.0,88250.0
326030,SK바이오팜,2023.06.27,81600.0,1800.0,82700.0,83900.0,81300.0,139391.0
326030,SK바이오팜,2023.06.26,83400.0,1100.0,84400.0,84900.0,81500.0,156079.0
326030,SK바이오팜,2023.06.23,84500.0,1400.0,86200.0,86200.0,83600.0,116263.0
326030,SK바이오팜,2023.06.22,85900.0,100.0,84800.0,87300.0,84700.0,127989.0
326030,SK바이오팜,2023.06.21,85800.0,2500.0,83500.0,87300.0,82600.0,253371.0
326030,SK바이오팜,2023.06.20,83300.0,2000.0,85500.0,86000.0,82900.0,147865.0
326030,SK바이오팜,2023.06.19,85300.0,500.0,85900.0,86600.0,84700.0,184098.0
326030,SK바이오팜,2023.06.16,85800.0,6000.0,80400.0,86500.0,80300.0,693322.0
326030,SK바이오팜,2023.06.15,79800.0,300.0,80900.0,82700.0,78700.0,183134.0
326030,SK바이오팜,2023.06.14,80100.0,900.0,80800.0,81700.0,79900.0,193070.0
326030,SK바이오팜,2023.06.13,81000.0,3500.0,77400.0,81500.0,77400.0,366343.0
326030,SK바이오팜,2023.06.12,77500.0,3600.0,73900.0,78300.0,73900.0,229972.0
326030,SK바이오팜,2023.06.09,73900.0,700.0,73900.0,74400.0,72800.0,91931.0
326030,SK바이오팜,2023.06.08,73200.0,1300.0,74800.0,74900.0,73000.0,106918.0
326030,SK바이오팜,2023.06.07,74500.0,200.0,74800.0,76900.0,74300.0,139962.0
326030,SK바이오팜,2023.06.05,74300.0,1000.0,75300.0,75300.0,73400.0,74385.0
326030,SK바이오팜,2023.06.02,75300.0,600.0,74700.0,75600.0,73700.0,128515.0
326030,SK바이오팜,2023.06.01,74700.0,1200.0,74200.0,74900.0,73300.0,134188.0
326030,SK바이오팜,2023.05.31,73500.0,300.0,73200.0,74400.0,72700.0,231954.0
326030,SK바이오팜,2023.05.30,73200.0,900.0,72500.0,73700.0,72100.0,124301.0
326030,SK바이오팜,2023.05.26,72300.0,800.0,71300.0,72600.0,71200.0,82545.0
326030,SK바이오팜,2023.05.25,71500.0,1500.0,72700.0,73800.0,71500.0,103323.0
326030,SK바이오팜,2023.05.24,73000.0,500.0,72200.0,73800.0,71900.0,89059.0
326030,SK바이오팜,2023.05.23,72500.0,200.0,72500.0,73400.0,71800.0,89434.0
326030,SK바이오팜,2023.05.22,72300.0,1200.0,71100.0,72400.0,70900.0,106039.0
326030,SK바이오팜,2023.05.19,71100.0,1400.0,69700.0,71400.0,69700.0,85964.0
326030,SK바이오팜,2023.05.18,69700.0,1500.0,71300.0,71500.0,69600.0,88498.0
326030,SK바이오팜,2023.05.17,71200.0,500.0,69800.0,71500.0,69800.0,48141.0
326030,SK바이오팜,2023.05.16,70700.0,200.0,70900.0,72200.0,70200.0,74603.0
326030,SK바이오팜,2023.05.15,70900.0,1000.0,71600.0,71800.0,69200.0,128208.0
326030,SK바이오팜,2023.05.12,71900.0,2400.0,69600.0,74400.0,69600.0,212491.0
326030,SK바이오팜,2023.05.11,69500.0,1000.0,70200.0,71200.0,69500.0,108194.0
326030,SK바이오팜,2023.05.10,70500.0,800.0,71300.0,71300.0,69600.0,69225.0
326030,SK바이오팜,2023.05.09,71300.0,900.0,70500.0,72200.0,70300.0,121026.0
326030,SK바이오팜,2023.05.08,70400.0,2500.0,72100.0,72600.0,70100.0,140906.0
326030,SK바이오팜,2023.05.04,72900.0,4600.0,68000.0,72900.0,67700.0,236658.0
326030,SK바이오팜,2023.05.03,68300.0,700.0,68300.0,68600.0,67600.0,60623.0
326030,SK바이오팜,2023.05.02,69000.0,0.0,69000.0,69200.0,67200.0,80396.0
326030,SK바이오팜,2023.04.28,69000.0,1300.0,68200.0,69500.0,67600.0,112075.0
326030,SK바이오팜,2023.04.27,67700.0,3100.0,71000.0,71000.0,66900.0,157856.0
326030,SK바이오팜,2023.04.26,70800.0,1100.0,69500.0,71500.0,68200.0,106960.0
326030,SK바이오팜,2023.04.25,69700.0,500.0,69900.0,71600.0,69200.0,140116.0
326030,SK바이오팜,2023.04.24,69200.0,100.0,69300.0,70600.0,69000.0,79756.0
326030,SK바이오팜,2023.04.21,69300.0,800.0,69700.0,70500.0,69100.0,90835.0
326030,SK바이오팜,2023.04.20,70100.0,400.0,70500.0,71300.0,69900.0,102366.0
326030,SK바이오팜,2023.04.19,70500.0,1100.0,71600.0,72200.0,70300.0,119149.0
326030,SK바이오팜,2023.04.18,71600.0,1600.0,73400.0,73900.0,71500.0,177203.0
326030,SK바이오팜,2023.04.17,73200.0,2800.0,76000.0,76100.0,73100.0,175069.0
326030,SK바이오팜,2023.04.14,76000.0,200.0,76900.0,77000.0,74900.0,254555.0
326030,SK바이오팜,2023.04.13,76200.0,6000.0,69700.0,76200.0,69600.0,525891.0
326030,SK바이오팜,2023.04.12,70200.0,1000.0,68900.0,71600.0,68500.0,236709.0
326030,SK바이오팜,2023.04.11,69200.0,5800.0,63400.0,69600.0,63000.0,368294.0
326030,SK바이오팜,2023.04.10,63400.0,800.0,62300.0,63600.0,61500.0,92102.0
326030,SK바이오팜,2023.04.07,62600.0,300.0,62900.0,63800.0,62300.0,81564.0
326030,SK바이오팜,2023.04.06,62900.0,800.0,63800.0,65200.0,62800.0,120603.0
326030,SK바이오팜,2023.04.05,63700.0,100.0,63700.0,65000.0,62900.0,119627.0
326030,SK바이오팜,2023.04.04,63800.0,1700.0,62200.0,64200.0,61400.0,131232.0
326030,SK바이오팜,2023.04.03,62100.0,1200.0,63300.0,64000.0,61900.0,104196.0
326030,SK바이오팜,2023.03.31,63300.0,1200.0,62500.0,63600.0,61800.0,128563.0
326030,SK바이오팜,2023.03.30,62100.0,1400.0,60900.0,63500.0,60600.0,148175.0
326030,SK바이오팜,2023.03.29,60700.0,1100.0,61900.0,62500.0,60600.0,97282.0
326030,SK바이오팜,2023.03.28,61800.0,700.0,62900.0,62900.0,61300.0,90091.0
326030,SK바이오팜,2023.03.27,62500.0,1400.0,61200.0,63300.0,60300.0,103684.0
326030,SK바이오팜,2023.03.24,61100.0,600.0,60600.0,62000.0,60600.0,54983.0
326030,SK바이오팜,2023.03.23,61700.0,100.0,61500.0,61700.0,60300.0,75904.0
