종목코드,탭코드,종목명,현재가,등락구분,전일비,등락률,순자산가치(NAV),3개월수익률,거래량,거래대금(백만),시가총액(억),유형,브랜드,인버스,레버리지,환헤지H
069500,1,KODEX 200,34980,5,-225,-0.64,35044.0,8.1433,570258,19934,61897,국내 시장지수,KODEX,False,False,False
357870,6,TIGER CD금리투자KIS(합성),52765,2,5,0.01,52764.0,0.9084,54963,2900,51735,채권,TIGER,False,False,False
423160,6,KODEX KOFR금리액티브(합성),103780,2,5,0.0,103767.0,0.9189,43208,4484,35411,채권,KODEX,False,False,False
273130,6,KODEX 종합채권(AA-이상)액티브,104720,5,-385,-0.37,104862.0,-0.4971,631,66,28623,채권,KODEX,False,False,False
371460,4,TIGER 차이나전기차SOLACTIVE,10095,2,65,0.65,10134.0,-9.4357,562877,5669,27580,해외 주식,TIGER,False,False,False
102110,1,TIGER 200,35030,5,-220,-0.62,35085.0,8.1487,125021,4377,24661,국내 시장지수,TIGER,False,False,False
133690,4,TIGER 미국나스닥100,90250,5,-50,-0.06,90462.0,15.0846,38717,3489,24404,해외 주식,TIGER,False,False,False
278530,1,KODEX 200TR,11950,5,-75,-0.62,11966.0,8.1384,7970,95,20130,국내 시장지수,KODEX,False,False,False
360750,4,TIGER 미국S&P500,14715,5,-10,-0.07,14748.0,6.8732,242048,3559,19622,해외 주식,TIGER,False,False,False
122630,3,KODEX 레버리지,17860,5,-225,-1.24,17982.0,15.3012,5002189,89244,19494,국내 파생,KODEX,False,True,False
448320,7,KODEX 23-12 은행채(AA+이상)액티브,10360,3,0,0.0,10364.0,0.7292,2644,27,19112,기타,KODEX,False,False,False
252670,3,KODEX 200선물인버스2X,2395,2,35,1.48,2396.0,-14.1819,46930103,112418,17179,국내 파생,KODEX,True,False,False
381170,4,TIGER 미국테크TOP10 INDXX,13835,2,15,0.11,13895.0,22.1387,447402,6177,16803,해외 주식,TIGER,False,False,False
381180,4,TIGER 미국필라델피아반도체나스닥,13195,2,70,0.53,13255.0,24.7979,836479,11017,16415,해외 주식,TIGER,False,False,False
310970,1,TIGER MSCI Korea TR,15035,5,-95,-0.63,15032.0,7.8403,160,2,13712,국내 시장지수,TIGER,False,False,False
214980,6,KODEX 단기채권PLUS,107300,2,5,0.0,107302.0,0.7654,6529,700,13655,채권,KODEX,False,False,False
305540,2,TIGER 2차전지테마,37070,5,-525,-1.4,37064.0,25.0457,1005285,37461,13141,국내 업종/테마,TIGER,False,False,False
148020,1,KBSTAR 200,35205,5,-240,-0.68,35261.0,7.7355,17669,621,13114,국내 시장지수,KBSTAR,False,False,False
