itemcode,etfTabCode,itemname,nowVal,risefall,changeVal,changeRate,nav,threeMonthEarnRate,quant,amonut,marketSum
069500,1,KODEX 200,34980,5,-225,-0.64,35044.0,8.1433,570258,19934,61897
357870,6,TIGER CD금리투자KIS(합성),52765,2,5,0.01,52764.0,0.9084,54963,2900,51735
423160,6,KODEX KOFR금리액티브(합성),103780,2,5,0.0,103767.0,0.9189,43208,4484,35411
273130,6,KODEX 종합채권(AA-이상)액티브,104720,5,-385,-0.37,104862.0,-0.4971,631,66,28623
371460,4,TIGER 차이나전기차SOLACTIVE,10095,2,65,0.65,10134.0,-9.4357,562877,5669,27580
102110,1,TIGER 200,35030,5,-220,-0.62,35085.0,8.1487,125021,4377,24661
133690,4,TIGER 미국나스닥100,90250,5,-50,-0.06,90462.0,15.0846,38717,3489,24404
278530,1,KODEX 200TR,11950,5,-75,-0.62,11966.0,8.1384,7970,95,20130
360750,4,TIGER 미국S&P500,14715,5,-10,-0.07,14748.0,6.8732,242048,3559,19622
122630,3,KODEX 레버리지,17860,5,-225,-1.24,17982.0,15.3012,5002189,89244,19494
448320,7,KODEX 23-12 은행채(AA+이상)액티브,10360,3,0,0.0,10364.0,0.7292,2644,27,19112
252670,3,KODEX 200선물인버스2X,2395,2,35,1.48,2396.0,-14.1819,46930103,112418,17179
381170,4,TIGER 미국테크TOP10 INDXX,13835,2,15,0.11,13895.0,22.1387,447402,6177,16803
381180,4,TIGER 미국필라델피아반도체나스닥,13195,2,70,0.53,13255.0,24.7979,836479,11017,16415
310970,1,TIGER MSCI Korea TR,15035,5,-95,-0.63,15032.0,7.8403,160,2,13712
214980,6,KODEX 단기채권PLUS,107300,2,5,0.0,107302.0,0.7654,6529,700,13655
305540,2,TIGER 2차전지테마,37070,5,-525,-1.4,37064.0,25.0457,1005285,37461,13141
148020,1,KBSTAR 200,35205,5,-240,-0.68,35261.0,7.7355,17669,621,13114
449170,6,TIGER KOFR금리액티브(합성),102350,2,5,0.0,102336.0,0.902,3025,309,12301
102780,2,KODEX 삼성그룹,9555,5,-5,-0.05,9568.0,5.6937,33334,318,11867
305720,2,KODEX 2차전지산업,33010,5,-480,-1.43,33013.0,18.3392,1201560,39918,11653
251340,3,KODEX 코스닥150선물인버스,3440,2,50,1.47,3439.0,-17.4178,41248766,141236,11407
292150,2,TIGER TOP10,11885,5,-160,-1.33,11891.0,11.4555,26168,311,11356
385540,6,KBSTAR 종합채권(A-이상)액티브,97145,5,-205,-0.21,97119.0,-0.6329,1,0,10745
157450,6,TIGER 단기통안채,104075,2,10,0.01,104083.0,0.7747,643257,66953,9716
139260,2,TIGER 200 IT,32865,5,-95,-0.29,32895.0,9.7021,18413,605,8749
153130,6,KODEX 단기채권,106620,5,-5,0.0,106622.0,0.7274,13899,1481,8053
233740,3,KODEX 코스닥150레버리지,14315,5,-355,-2.42,14448.0,37.5527,8047242,116237,7716
455890,6,KBSTAR 머니마켓액티브,50475,5,-5,-0.01,50477.0,,1632,82,7340
114800,3,KODEX 인버스,4390,2,30,0.69,4394.0,-6.8377,7408341,32548,7279
091180,2,KODEX 자동차,18745,5,-425,-2.22,18747.0,5.0986,140957,2653,7086
371160,4,TIGER 차이나항셍테크,6420,5,-20,-0.31,6447.0,11.4186,187703,1202,6616
152100,1,ARIRANG 200,35555,5,-225,-0.63,35616.0,8.015,472,16,6595
272580,6,TIGER 단기채권액티브,52310,5,-5,-0.01,52316.0,0.8093,124679,6522,6517
