종목명,현재가,전일비,등락률,매수호가,매도호가,거래량,거래대금,전일거래량,조회일자,종목명_전처리,종목코드_x,매출액,영업이익,당기순이익,영업이익률,순이익률,ROE(지배주주),부채비율,당좌비율,유보율,EPS(원),PER(배),BPS(원),PBR(배),주당배당금(원),시가배당률(%),배당성향(%),시가총액,시가총액순위,상장주식수,액면가l매매단위,외국인한도주식수(A),외국인보유주식수(B),외국인소진율(B/A),투자의견l목표주가,52주최고l최저,PERlEPS(2023.03),추정PERlEPS,PBRlBPS (2023.03),배당수익률,동일업종 PER,동일업종 등락률,종목코드_y,배당수익률l2022.12,PERlEPS(2022.12),PBRlBPS (2022.12),PERlEPS(2023.06),PBRlBPS (2023.06),PERlEPS(2023.05),PBRlBPS (2023.05),배당수익률l2022.11
지놈앤컴퍼니 *,16140.0,2440.0,+17.81%,16440.0,16500.0,917537.0,14801.0,16343.0,23-08-21,지놈앤컴퍼니,314130,,,,,,,,,,,,,,,,,"2,292  억원",코스닥 369위,14102521,500원  l  1주,14102521,104176,0.74%,N/A  l  N/A,"32,500  l  12,590","N/A  l  -3,483원",N/A  l  N/A,"2.91배  l  5,584원",,88.07배,-0.14%,314130,,,,,,,,
이수앱지스 *,7560.0,750.0,+11.01%,7290.0,7300.0,679560.0,5004.0,272086.0,23-08-21,이수앱지스,086890,171.0,16.0,-5.0,9.36,-2.92,,,,,-15.0,-433.37,,,,,,"2,485  억원",코스닥 335위,33182668,500원  l  1주,33182668,557515,1.68%,N/A  l  N/A,"8,220  l  4,950",N/A  l  -198원,N/A  l  N/A,"4.16배  l  1,800원",,88.07배,-0.14%,086890,,,,,,,,
카이노스메드 *,4210.0,390.0,+10.21%,4235.0,4245.0,615228.0,2635.0,43792.0,23-08-21,카이노스메드,284620,,,,,,,,,,,,,,,,,"1,171  억원",코스닥 732위,27922396,500원  l  1주,27922396,951792,3.41%,N/A  l  N/A,"7,500  l  3,020",N/A  l  -592원,N/A  l  N/A,5.06배  l  829원,,88.07배,-0.14%,284620,,,,,,,,
대봉엘에스 *,11460.0,950.0,+9.04%,11540.0,11590.0,510039.0,5689.0,376893.0,23-08-21,대봉엘에스,078140,,,,,,,,,,,,,,,,,"1,273  억원",코스닥 672위,11086579,500원  l  1주,11086579,203700,1.84%,N/A  l  N/A,"14,950  l  6,910",16.01배  l  717원,N/A  l  N/A,"1.06배  l  10,797원",,88.07배,-0.21%,078140,0.44%,,,,,,,
샤페론 *,4520.0,355.0,+8.52%,4510.0,4520.0,848817.0,3778.0,416766.0,23-08-21,샤페론,378800,,,,,,,,,,,,,,,,,"1,042  억원",코스닥 805위,23071031,500원  l  1주,23071031,86998,0.38%,N/A  l  N/A,"11,600  l  3,740",,N/A  l  N/A,,,88.07배,-0.14%,378800,,N/A  l  -532원,"3.64배  l  1,239원",,,,,
비엘헬스케어,2095.0,135.0,+6.89%,1935.0,2070.0,1.0,2.0,102.0,23-08-21,비엘헬스케어,086220,,,,,,,,,,,,,,,,,478  억원,코스닥 1335위,15000000,500원  l  1주,15000000,200833,1.34%,N/A  l  N/A,"6,750  l  2,825",N/A  l  -301원,N/A  l  N/A,"0.92배  l  3,452원",,88.07배,-0.14%,114450,,,,,,,,
플럼라인생명과학,7770.0,490.0,+6.73%,7680.0,7790.0,921.0,6868.0,128.0,23-08-21,플럼라인생명과학,222670,1611.0,190.0,,11.79,,,,,,,,,,,,,"3,349  억원",코스피 446위,11569113,500원  l  1주,11569113,1048603,9.06%,"4.00매수  l  40,000","35,900  l  26,000","12.61배  l  2,296원",N/A  l  N/A,"0.75배  l  38,379원",,88.07배,-0.21%,008490,1.38%,,,,,,,
그린생명과학 *,3200.0,180.0,+5.96%,3215.0,3235.0,55378.0,178.0,14624.0,23-08-21,그린생명과학,114450,,,,,,,,,,,,,,,,,979  억원,코스피 865위,15846788,500원  l  1주,15846788,538183,3.40%,N/A  l  N/A,"8,600  l  5,280",7.15배  l  864원,N/A  l  N/A,"0.46배  l  13,445원",,88.07배,-0.14%,004720,,,,,,,,
서흥,29000.0,1600.0,+5.84%,28750.0,28800.0,29989.0,848.0,10056.0,23-08-21,서흥,008490,,,,,,,,,,,,,,,,,"1,627  억원",코스닥 536위,26676162,500원  l  1주,26676162,0,0.00%,N/A  l  N/A,"7,730  l  4,100",,N/A  l  N/A,,,88.07배,-0.14%,261780,,,,N/A  l  -174원,"5.01배  l  1,217원",,,
팜젠사이언스,6210.0,320.0,+5.43%,6180.0,6190.0,136908.0,843.0,114954.0,23-08-21,팜젠사이언스,004720,,,,,,,,,,,,,,,,,"3,494  억원",코스닥 218위,49069269,100원  l  1주,49069269,397532,0.81%,N/A  l  N/A,"11,150  l  5,180",28.59배  l  249원,N/A  l  N/A,"3.63배  l  1,962원",,88.07배,-0.14%,307750,,,,,,,,
차백신연구소 *,6090.0,300.0,+5.18%,6180.0,6190.0,9283266.0,57857.0,8942782.0,23-08-21,차백신연구소,261780,,,,,,,,,,,,,,,,,"1,563  억원",코스닥 562위,19374181,500원  l  1주,19374181,113004,0.58%,N/A  l  N/A,"12,500  l  5,890","N/A  l  -1,388원",N/A  l  N/A,24.09배  l  335원,,88.07배,-0.21%,203400,,,,,,,,
국전약품 *,7120.0,330.0,+4.86%,7140.0,7150.0,1874828.0,13520.0,492731.0,23-08-21,국전약품,307750,,,,,,,,,,,,,,,,,"1,337  억원",코스닥 641위,66532826,500원  l  1주,66532826,1240681,1.86%,N/A  l  N/A,"3,270  l  1,840",N/A  l  -105원,N/A  l  N/A,"0.76배  l  2,658원",,88.07배,-0.14%,061250,,,,,,,,
에이비온 *,8120.0,350.0,+4.50%,8100.0,8120.0,42766.0,342.0,53210.0,23-08-21,에이비온,203400,2330.0,90.0,,3.86,,,,,,,,,,,,,"2,730  억원",코스피 512위,5009861,"2,500원  l  1주",5009861,224729,4.49%,"4.00매수  l  63,000","62,500  l  45,400",,N/A  l  N/A,,,88.07배,-0.14%,001630,2.57%,,,"11.06배  l  4,927원","0.49배  l  112,330원",,,
바스칸바이오제약,6770.0,280.0,+4.31%,5910.0,6000.0,1.0,6.0,6.0,23-08-21,바스칸바이오제약,354390,,,,,,,,,,,,,,,,,756  억원,코스닥 1046위,15170500,500원  l  1주,15170500,113544,0.75%,N/A  l  N/A,"5,960  l  3,860",16.13배  l  309원,N/A  l  N/A,"1.27배  l  3,934원",,88.07배,-0.14%,002800,1.00%,,,,,,,
화일약품 *,1997.0,82.0,+4.28%,2000.0,2005.0,523770.0,1046.0,205935.0,23-08-21,화일약품,061250,,,,,,,,,,,,,,,,,787  억원,코스닥 1015위,5392115,500원  l  1주,5392115,10915,0.20%,N/A  l  N/A,"29,350  l  13,660",N/A  l  -141원,N/A  l  N/A,"0.72배  l  20,219원",,88.07배,-0.14%,239610,,,,,,,,
종근당홀딩스,54500.0,1900.0,+3.61%,54300.0,54400.0,5335.0,287.0,5112.0,23-08-21,종근당홀딩스,001630,,,,,,,,,,,,,,,,,"1,552  억원",코스닥 566위,48427177,500원  l  1주,48427177,649696,1.34%,N/A  l  N/A,"4,211  l  2,625",145.68배  l  22원,N/A  l  N/A,"2.76배  l  1,163원",,88.07배,-0.21%,067290,,,,,,,,
신신제약 *,5010.0,170.0,+3.51%,4975.0,4985.0,40593.0,199.0,37735.0,23-08-21,신신제약,002800,,,,,,,,,,,,,,,,,990  억원,코스닥 838위,15327021,500원  l  1주,15327021,180744,1.18%,N/A  l  N/A,"7,800  l  4,965",,N/A  l  N/A,,,88.07배,-0.21%,260660,2.01%,,,9.95배  l  649원,"1.03배  l  6,255원",,,
