종목명,현재가,전일비,등락률,매수호가,매도호가,거래량,거래대금,전일거래량,조회일자,매출액,영업이익,당기순이익,영업이익률,순이익률,EPS(원)_x,PER(배)_x,상장주식수,외국인한도주식수(A),외국인보유주식수(B),외국인소진율(B/A),동일업종 PER,동일업종 등락률,종목코드,코스피/코스닥,시가총액(억원),시가총액순위(전처리),52주최고,52주최저,52주차액,52주차액비율,현재-최고가,현재/최고가비율,투자의견,목표주가,매수매도,PER(배)_y,EPS(원)_y,PBR(배),BPS(원),배당수익률%
지놈앤컴퍼니 *,16140.0,2440.0,+17.81%,16440.0,16500.0,917537.0,14801.0,16343.0,23-08-21,,,,,,,,14102521,14102521,104176,0.74%,88.07,-0.14%,314130,코스닥,2292,369,32500,12590,19910,2.5814138204924544,-16360.0,0.4966153846153846,,,,,-3483,2.91,5584.0,
이수앱지스 *,7560.0,750.0,+11.01%,7290.0,7300.0,679560.0,5004.0,272086.0,23-08-21,171.0,16.0,-5.0,9.36,-2.92,-15.0,-433.37,33182668,33182668,557515,1.68%,88.07,-0.14%,086890,코스닥,2485,335,8220,4950,3270,1.6606060606060606,-660.0,0.9197080291970803,,,,,-198,4.16,1800.0,
카이노스메드 *,4210.0,390.0,+10.21%,4235.0,4245.0,615228.0,2635.0,43792.0,23-08-21,,,,,,,,27922396,27922396,951792,3.41%,88.07,-0.14%,284620,코스닥,1171,732,7500,3020,4480,2.4834437086092715,-3290.0,0.5613333333333334,,,,,-592,5.06,829.0,
대봉엘에스 *,11460.0,950.0,+9.04%,11540.0,11590.0,510039.0,5689.0,376893.0,23-08-21,,,,,,,,11086579,11086579,203700,1.84%,88.07,-0.21%,078140,코스닥,1273,672,14950,6910,8040,2.1635311143270624,-3490.0,0.7665551839464882,,,,16.01,717,1.06,10797.0,0.44
샤페론 *,4520.0,355.0,+8.52%,4510.0,4520.0,848817.0,3778.0,416766.0,23-08-21,,,,,,,,23071031,23071031,86998,0.38%,88.07,-0.14%,378800,코스닥,1042,805,11600,3740,7860,3.1016042780748663,-7080.0,0.3896551724137931,,,,,-532,3.64,1239.0,
비엘헬스케어,2095.0,135.0,+6.89%,1935.0,2070.0,1.0,2.0,102.0,23-08-21,,,,,,,,15000000,15000000,200833,1.34%,88.07,-0.14%,114450,코스피,478,1335,6750,2825,3925,2.3893805309734515,-4655.0,0.31037037037037035,,,,,-301,0.92,3452.0,
플럼라인생명과학,7770.0,490.0,+6.73%,7680.0,7790.0,921.0,6868.0,128.0,23-08-21,1611.0,190.0,,11.79,,,,11569113,11569113,1048603,9.06%,88.07,-0.21%,008490,코스피,3349,446,35900,26000,9900,1.3807692307692307,-28130.0,0.21643454038997215,4.0,40000.0,매수,12.61,2296,0.75,38379.0,1.38
그린생명과학 *,3200.0,180.0,+5.96%,3215.0,3235.0,55378.0,178.0,14624.0,23-08-21,,,,,,,,15846788,15846788,538183,3.40%,88.07,-0.14%,004720,코스닥,979,865,8600,5280,3320,1.628787878787879,-5400.0,0.37209302325581395,,,,7.15,864,0.46,13445.0,
서흥,29000.0,1600.0,+5.84%,28750.0,28800.0,29989.0,848.0,10056.0,23-08-21,,,,,,,,26676162,26676162,0,0.00%,88.07,-0.14%,261780,코스피,1627,536,7730,4100,3630,1.8853658536585365,21270.0,3.7516170763260024,,,,,-174,5.01,1217.0,
팜젠사이언스,6210.0,320.0,+5.43%,6180.0,6190.0,136908.0,843.0,114954.0,23-08-21,,,,,,,,49069269,49069269,397532,0.81%,88.07,-0.14%,307750,코스피,3494,218,11150,5180,5970,2.1525096525096523,-4940.0,0.5569506726457399,,,,28.59,249,3.63,1962.0,
차백신연구소 *,6090.0,300.0,+5.18%,6180.0,6190.0,9283266.0,57857.0,8942782.0,23-08-21,,,,,,,,19374181,19374181,113004,0.58%,88.07,-0.21%,203400,코스닥,1563,562,12500,5890,6610,2.122241086587436,-6410.0,0.4872,,,,,-1388,24.09,335.0,
국전약품 *,7120.0,330.0,+4.86%,7140.0,7150.0,1874828.0,13520.0,492731.0,23-08-21,,,,,,,,66532826,66532826,1240681,1.86%,88.07,-0.14%,061250,코스닥,1337,641,3270,1840,1430,1.7771739130434783,3850.0,2.1773700305810397,,,,,-105,0.76,2658.0,
에이비온 *,8120.0,350.0,+4.50%,8100.0,8120.0,42766.0,342.0,53210.0,23-08-21,2330.0,90.0,,3.86,,,,5009861,5009861,224729,4.49%,88.07,-0.14%,001630,코스닥,2730,512,62500,45400,17100,1.3766519823788546,-54380.0,0.12992,4.0,63000.0,매수,11.06,4927,0.49,112330.0,2.57
바스칸바이오제약,6770.0,280.0,+4.31%,5910.0,6000.0,1.0,6.0,6.0,23-08-21,,,,,,,,15170500,15170500,113544,0.75%,88.07,-0.14%,002800,코스피,756,1046,5960,3860,2100,1.544041450777202,810.0,1.1359060402684564,,,,16.13,309,1.27,3934.0,1.0
화일약품 *,1997.0,82.0,+4.28%,2000.0,2005.0,523770.0,1046.0,205935.0,23-08-21,,,,,,,,5392115,5392115,10915,0.20%,88.07,-0.14%,239610,코스닥,787,1015,29350,13660,15690,2.1486090775988287,-27353.0,0.06804088586030664,,,,,-141,0.72,20219.0,
종근당홀딩스,54500.0,1900.0,+3.61%,54300.0,54400.0,5335.0,287.0,5112.0,23-08-21,,,,,,,,48427177,48427177,649696,1.34%,88.07,-0.21%,067290,코스피,1552,566,4211,2625,1586,1.6041904761904762,50289.0,12.942293991925908,,,,145.68,22,2.76,1163.0,
신신제약 *,5010.0,170.0,+3.51%,4975.0,4985.0,40593.0,199.0,37735.0,23-08-21,,,,,,,,15327021,15327021,180744,1.18%,88.07,-0.21%,260660,코스닥,990,838,7800,4965,2835,1.5709969788519638,-2790.0,0.6423076923076924,,,,9.95,649,1.03,6255.0,2.01
에이치엘사이언스 *,14600.0,480.0,+3.40%,14490.0,14600.0,5125.0,74.0,7013.0,23-08-21,767.0,73.0,,9.52,,357.0,29.22,18754848,18754848,436789,2.33%,88.07,-0.14%,194700,코스닥,2009,434,17050,7470,9580,2.282463186077644,-2450.0,0.8563049853372434,4.0,16000.0,매수,11.65,919,1.0,10675.0,1.4
JW신약 *,3220.0,105.0,+3.37%,3195.0,3200.0,792047.0,2537.0,318166.0,23-08-21,602.0,45.0,39.0,7.45,6.53,,,18808775,18808775,453177,2.41%,88.07,-0.14%,237690,코스닥,15404,29,101200,69400,31800,1.45821325648415,-97980.0,0.031818181818181815,4.0,118800.0,매수,77.48,1057,4.61,17751.0,0.61
알리코제약 *,6470.0,200.0,+3.19%,6440.0,6450.0,2474170.0,17191.0,26113.0,23-08-21,,,,,,,,2200000,2200000,2446,0.11%,88.07,-0.14%,019175,코스닥,638,1032,71000,21900,49100,3.2420091324200913,-64530.0,0.09112676056338029,,,,,-672,4.6,6310.0,
노바렉스 *,10760.0,320.0,+3.07%,10720.0,10740.0,552005.0,5900.0,599912.0,23-08-21,3427.0,351.0,232.0,10.23,6.78,,,11586575,11586575,1085828,9.37%,88.07,-0.14%,069620,코스닥,12444,195,179000,88300,90700,2.02718006795017,-168240.0,0.06011173184357542,4.0,160000.0,매수,28.26,3800,1.86,57795.0,0.56
